symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
RECLTD,24588.0,124.5,173.69,4.24,8.84,9.21,17.31,2.15,10.0
RITES,6545.0,261.8,95.35,14.34,3.9,29.71,19.4,22.36,10.0
RADICO,4062.0,304.5,98.56,20.78,0.39,19.04,15.35,7.89,2.0
RVNL,4889.0,23.45,17.93,8.19,3.8,12.9,16.83,30.37,10.0
RAIN,3133.0,93.15,27.32,87.52,1.07,7.74,6.58,6.91,2.0
RAJESHEXPO,19853.0,672.3,154.52,46.19,0.15,6.73,10.19,3.41,1.0
RALLIS,3334.0,171.45,64.19,25.74,1.46,15.57,10.66,9.08,1.0
RCF,2651.0,48.05,55.01,23.97,1.6,6.82,4.23,3.14,10.0
RATNAMANI,4326.0,925.85,325.69,16.77,0.97,25.91,17.88,17.05,2.0
RAYMOND,3505.0,571.1,223.0,43.68,0.53,9.67,6.81,5.48,10.0
REDINGTON,4194.0,107.8,41.22,26.18,2.23,14.91,9.08,10.06,2.0
RELAXO,12416.0,500.45,44.54,69.27,0.18,25.69,18.73,11.18,1.0
RELCAPITAL,324.73,12.85,350.91,,0.0,7.21,1.75,-17.4,10.0
RELIANCE,885262.0,1397.0,639.4,25.02,0.47,11.45,9.78,16.89,10.0
RELINFRA,520.72,19.8,543.4,0.1,0.0,23.2,29.04,-53.7,10.0
RNAM,16605.0,271.3,41.37,33.97,2.21,28.19,19.5,7.73,10.0
RPOWER,547.0,1.95,45.83,,0.0,1.2,-1.23,-8.21,10.0
REPCOHOME,1819.0,290.7,244.14,7.7,0.86,10.66,16.54,10.55,10.0
SHK,1700.0,120.3,42.21,40.17,0.0,10.32,7.32,7.45,10.0
SBILIFE,90290.0,902.9,79.41,73.78,0.22,23.39,18.81,32.16,10.0
SJVN,9510.0,24.2,28.6,6.2,8.88,15.96,12.84,2.12,10.0
SKFINDIA,10516.0,2127.0,343.25,31.59,0.56,28.49,18.88,0.41,10.0
SRF,15393.0,2678.0,681.73,27.65,0.46,13.4,14.04,21.07,10.0
SADBHAV,2372.0,138.25,118.53,14.58,0.72,12.4,9.55,3.66,1.0
SANOFI,13940.0,6053.0,968.48,35.85,1.39,28.84,17.98,8.07,10.0
SCHAEFFLER,12788.0,4091.0,890.16,30.03,0.73,26.54,17.82,38.66,10.0
SIS,6581.0,897.55,99.35,44.64,0.39,13.19,17.89,25.27,10.0
SFL,6098.0,1250.0,137.15,48.84,0.0,29.43,19.9,11.18,5.0
SHILPAMED,2119.0,259.9,157.19,20.94,0.38,10.62,9.62,-0.59,1.0
SHOPERSTOP,3468.0,394.1,111.11,48.55,0.19,15.6,8.17,0.18,5.0
SHREECEM,63375.0,18190.0,2755.0,53.65,0.33,12.22,11.84,28.58,10.0
RENUKA,1294.0,6.75,2.85,,0.0,6.52,-26.04,-9.85,1.0
SHRIRAMCIT,8907.0,1350.0,968.44,8.8,1.63,12.57,16.56,14.6,10.0
SRTRANSFIN,23585.0,1040.0,698.0,8.98,1.15,11.37,17.44,14.7,10.0
SIEMENS,57782.0,1623.0,238.54,55.8,0.43,17.81,11.16,6.57,2.0
SOBHA,4324.0,455.85,219.02,12.93,1.54,13.92,12.19,20.75,10.0
SOLARINDS,9846.0,1088.0,97.81,50.06,0.64,30.85,23.62,17.84,2.0
SONATSOFTW,3109.0,295.5,50.68,18.65,4.26,46.67,33.61,18.0,1.0
SOUTHBANK,1801.0,9.95,29.48,6.05,2.51,6.09,4.68,7.36,1.0
STARCEMENT,3934.0,93.85,25.08,17.23,0.0,24.35,27.08,6.19,1.0
SBIN,236904.0,265.45,247.53,32.74,0.0,4.58,0.39,13.98,1.0
SAIL,13858.0,33.55,92.36,7.78,1.49,8.43,6.67,20.01,10.0
STRTECH,5706.0,141.35,39.34,10.04,2.47,33.81,40.17,33.85,2.0
STAR,3169.0,353.85,363.69,24.99,0.85,4.25,3.53,-10.75,10.0
SUDARSCHEM,2597.0,375.15,86.47,29.45,1.6,16.99,16.24,6.11,2.0
SPARC,3425.0,130.7,11.3,,0.0,-61.22,-61.76,4.28,1.0
SUNPHARMA,96333.0,401.5,95.21,43.98,0.68,7.9,8.26,10.1,1.0
SUNTV,19805.0,502.55,138.05,14.48,1.49,41.21,26.89,15.21,5.0
SUNCLAYLTD,3967.0,1961.0,340.4,33.76,1.84,13.61,17.82,8.94,5.0
SUNDARMFIN,17842.0,1606.0,453.99,26.4,1.09,9.61,15.0,11.38,10.0
